"I'm indebted to him.
",O O O O O O ,"I'm indebted to him.
",None
"I must go and thank him, at least.
",O O O O O O O O O O ,"I must go and thank him, at least.
",None
"Okay.
",O O ,"Okay.
",None
"I'm glad you came back.
",O O O O O O O ,"I'm glad you came back.
",None
"Say, say!
",O O O O ,"Say, say!
",None
"You think those two eloped?
",O O O O O O ,"You think those two eloped?
",None
"Are you going to let them stay here?
",O O O O O O O O O ,"Are you going to let them stay here?
",None
"Until they find a place to live.
",O O O O O O O O ,"Until they find a place to live.
",None
"Dr. Kurotsuka is a nice man.
",O O O O O O O ,"Dr. Kurotsuka is a nice man.
",None
"Yeah, but we have to find a place of our own.
",O O O O O O O O O O O O O ,"Yeah, but we have to find a place of our own.
",None
"I know.
",O O O ,"I know.
",None
"I'll go anywhere with you.
",O O O O O O O ,"I'll go anywhere with you.
",None
"We'll always be together from now on.
",O O O O O O O O O ,"We'll always be together from now on.
",None
"This is Toya.
",O O O O ,"This is Toya.
",None
"I told you I'd introduce you to him.
",O O O O O O O O O O ,"I told you I'd introduce you to him.
",None
"He means a lot to me.
",O O O O O O O ,"He means a lot to me.
",None
"I'm sorry, but I won't be able to see you for awhile.
",O O O O O O O O O O O O O O O O ,"I'm sorry, but I won't be able to see you for awhile.
",None
"We'll come back to see you.
",O O O O O O O O ,"We'll come back to see you.
",None
"I'll protect Aya, no matter what.
",O O O O O O O O O ,"I'll protect Aya, no matter what.
",None
"It's the first time she's shown any kind of reaction.
",O O O O O O O O O O O O O ,"It's the first time she's shown any kind of reaction.
",None
"She understands about you, too.
",O O O O O O O ,"She understands about you, too.
",None
"This gives me hope.
",O O O O O ,"This gives me hope.
",None
"Mother will recover.
",O O O O ,"Mother will recover.
",None
"Aki, too.
",O O O O ,"Aki, too.
",None
"And you'll regain your memory, Toya.
",O O O O O O O O O ,"And you'll regain your memory, Toya.
",None
"Dear Suzumi, Yuhi and Mrs. Q...
",O O O O O O O O ,"Dear Suzumi, Yuhi and Mrs. Q...
",None
"I'm sorry I haven't written in a while.
",O O O O O O O O O O O ,"I'm sorry I haven't written in a while.
",None
"We've been here for one month.
",O O O O O O O O ,"We've been here for one month.
",None
"So far there haven't been any run-ins with the Mikage.
",O O O O O O O O O O O O ,"So far there haven't been any run-ins with the Mikage.
",None
"We've finally settled into our apartment.
",O O O O O O O O ,"We've finally settled into our apartment.
",None
"I work part-time at a neighborhood bento shop... and a bookstore.
",O O O O O O O O O O O O O ,"I work part-time at a neighborhood bento shop... and a bookstore.
",None
"Toya's been helping with administrative work... in Dr. Kurotsuka's clinic.
",O O O O O O O O O O O O O O ,"Toya's been helping with administrative work... in Dr. Kurotsuka's clinic.
",None
"The doctor is very happy that... he's seeing an increase in female patients.!
",O O O O O O O O O O O O O O O O O ,"The doctor is very happy that... he's seeing an increase in female patients.!
",None
"Good evening!
",O O O ,"Good evening!
",None
"I thought I'd make us a hot pot for dinner.
",O O O O O O O O O O O O ,"I thought I'd make us a hot pot for dinner.
",None
"Oh, good!
",O O O O ,"Oh, good!
",None
"Thanks!
",O O ,"Thanks!
",None
"Toya!
",O O ,"Toya!
",None
"Your wife's here to join us for dinner.
",O O O O O O O O O O ,"Your wife's here to join us for dinner.
",None
"Doctor, please don't tease me like that...
",O O O O O O O O O O ,"Doctor, please don't tease me like that...
",None
"- He called me your wife!
",O O O O O O O ,"- He called me your wife!
",None
"- Aya tends to get very excited.
",O O O O O O O O ,"- Aya tends to get very excited.
",None
"- He's embarrassing me!
",O O O O O O ,"- He's embarrassing me!
",None
"- It's better not to say such things.
",O O O O O O O O O O ,"- It's better not to say such things.
",None
"Huh?
",O O ,"Huh?
",None
"Doctor?
",O O ,"Doctor?
",None
"!
",O ,"!
",None
"Well, are you getting used to living in Niigata?
",O O O O O O O O O O O ,"Well, are you getting used to living in Niigata?
",None
"Yes.
",O O ,"Yes.
",None
"I was born in Niigata, but I lived in Tokyo for many years.
",O O O O O O O O O O O O O O O ,"I was born in Niigata, but I lived in Tokyo for many years.
",None
