utterance,labels,delexicalised,intent
I want to hear anything from the Rock Symphonique genre please,O O O O O O O B-genre I-genre O O ,I want to hear anything from the _genre_ genre please,PlayMusic
Please play a 1997 record,O O O B-year B-music_item ,Please play a _year_ _music_item_,PlayMusic
Put What Color Is Your Sky by Alana Davis on the stereo,O B-album I-album I-album I-album I-album O B-artist I-artist O O O ,Put _album_ by _artist_ on the stereo,PlayMusic
Please play a movement from george formby jr,O O O B-music_item O B-artist I-artist I-artist ,Please play a _music_item_ from _artist_,PlayMusic
play some new Les Vandyke on Slacker,O O B-sort B-artist I-artist O B-service ,play some _sort_ _artist_ on _service_,PlayMusic
Please open Zvooq,O O B-service ,Please open _service_,PlayMusic
Play Progressive Metal,O B-genre I-genre ,Play _genre_,PlayMusic
I want to hear soundtrack music on Youtube from Helena Iren Michaelsen,O O O O B-music_item O O B-service O B-artist I-artist I-artist ,I want to hear _music_item_ music on _service_ from _artist_,PlayMusic
play a song by Ramesh Narayan from 1960,O O B-music_item O B-artist I-artist O B-year ,play a _music_item_ by _artist_ from _year_,PlayMusic
Play some blues britânico,O O B-genre I-genre ,Play some _genre_,PlayMusic
Proceed with Hitomi Nabatame music from 2003,O O B-artist I-artist O O B-year ,Proceed with _artist_ music from _year_,PlayMusic
Play something on Zvooq,O O O B-service ,Play something on _service_,PlayMusic
Play music from Lynn & Wade Llp,O O O B-artist I-artist I-artist I-artist ,Play music from _artist_,PlayMusic
Let me hear Chris Knight music,O O O B-artist I-artist O ,Let me hear _artist_ music,PlayMusic
Let's hear good Mohammad Mamle on Vimeo,O O O B-sort B-artist I-artist O B-service ,Let's hear _sort_ _artist_ on _service_,PlayMusic
Please play a sound track from the fifties that's on Iheart,O O O B-music_item I-music_item O O B-year O O O B-service ,Please play a _music_item_ from the _year_ that's on _service_,PlayMusic
Play Music From Van-pires by Dmitry Malikov,O B-album I-album I-album O B-artist I-artist ,Play _album_ by _artist_,PlayMusic
Play rich sex on Iheart,O B-track I-track O B-service ,Play _track_ on _service_,PlayMusic
Play Modern Psychedelia,O B-playlist I-playlist ,Play _playlist_,PlayMusic
rate this album four out of 6 stars,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,rate _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Give this textbook four stars,O B-object_select B-object_type B-rating_value B-rating_unit ,Give _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
rate A Twist in the Tale zero out of 6 points,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate The children of Niobe 1 out of 6 points,O B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,Rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Give zero stars to Halo: Ghosts of Onyx,O B-rating_value B-rating_unit O B-object_name I-object_name I-object_name I-object_name I-object_name ,Give _rating_value_ _rating_unit_ to _object_name_,RateBook
give this novel a score of 5,O B-object_select B-object_type O O O B-rating_value ,give _object_select_ _object_type_ a score of _rating_value_,RateBook
Give the current series four of 6 points,O O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit ,Give the _object_select_ _object_part_of_series_type_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
Give 4 out of 6 points to The Spirit Ring chronicle,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name B-object_part_of_series_type ,Give _rating_value_ out of _best_rating_ _rating_unit_ to _object_name_ _object_part_of_series_type_,RateBook
Give two stars out of 6 to 36 Children,O B-rating_value B-rating_unit O O B-best_rating O B-object_name I-object_name ,Give _rating_value_ _rating_unit_ out of _best_rating_ to _object_name_,RateBook
Rate The Sneetches and Other Stories a three,O B-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value ,Rate _object_name_ a _rating_value_,RateBook
Rate the current series four stars,O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit ,Rate the _object_select_ _object_part_of_series_type_ _rating_value_ _rating_unit_,RateBook
rate this book a 4 out of 6,O B-object_select B-object_type O B-rating_value O O B-best_rating ,rate _object_select_ _object_type_ a _rating_value_ out of _best_rating_,RateBook
rate the current novel 5 of 6 stars,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit ,rate the _object_select_ _object_type_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
Rate this book a 1 ,O B-object_select B-object_type O B-rating_value ,Rate _object_select_ _object_type_ a _rating_value_ ,RateBook
Give zero out of 6 to the current album,O B-rating_value O O B-best_rating O O B-object_select B-object_type ,Give _rating_value_ out of _best_rating_ to the _object_select_ _object_type_,RateBook
Give this album 5 points,O B-object_select B-object_type B-rating_value B-rating_unit ,Give _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Rate The Mystery of the Tolling Bell series 4 stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value B-rating_unit ,Rate _object_name_ _object_part_of_series_type_ _rating_value_ _rating_unit_,RateBook
Give the current novel two stars,O O B-object_select B-object_type B-rating_value B-rating_unit ,Give the _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Give the current book 4 stars,O O B-object_select B-object_type B-rating_value B-rating_unit ,Give the _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Give Joe Magarac and His USA Citizen Papers 5 points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,Give _object_name_ _rating_value_ _rating_unit_,RateBook
Rate The Guilty 0 of 6 points,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit ,Rate _object_name_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
rate this textbook four out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating ,rate _object_select_ _object_type_ _rating_value_ out of _best_rating_,RateBook
Give the Catedral series four stars,O O B-object_name B-object_part_of_series_type B-rating_value B-rating_unit ,Give the _object_name_ _object_part_of_series_type_ _rating_value_ _rating_unit_,RateBook
Reminiscences of the Anti-Japanese Guerillas chronicle deserves zero points out of 6 for a rating,B-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type O B-rating_value B-rating_unit O O B-best_rating O O O ,_object_name_ _object_part_of_series_type_ deserves _rating_value_ _rating_unit_ out of _best_rating_ for a rating,RateBook
Give Small Screen Big Picture a 0 out of 6 rating,O B-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating O ,Give _object_name_ a _rating_value_ out of _best_rating_ rating,RateBook
Gods and Pawns should get a three,B-object_name I-object_name I-object_name O O O B-rating_value ,_object_name_ should get a _rating_value_,RateBook
Give zero stars to this textbook,O B-rating_value B-rating_unit O B-object_select B-object_type ,Give _rating_value_ _rating_unit_ to _object_select_ _object_type_,RateBook
Rate the current novel a 4 out of 6 stars,O O B-object_select B-object_type O B-rating_value O O B-best_rating B-rating_unit ,Rate the _object_select_ _object_type_ a _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate the book The Atmospheric Railway 5 out of 6,O O B-object_type B-object_name I-object_name I-object_name B-rating_value O O B-best_rating ,Rate the _object_type_ _object_name_ _rating_value_ out of _best_rating_,RateBook
rate Black Boy 4 out of 6,O B-object_name I-object_name B-rating_value O O B-best_rating ,rate _object_name_ _rating_value_ out of _best_rating_,RateBook
Rate the chronicle current 1 star,O O B-object_part_of_series_type B-object_select B-rating_value O ,Rate the _object_part_of_series_type_ _object_select_ _rating_value_ star,RateBook
mark this album a score of 5,O B-object_select B-object_type O O O B-rating_value ,mark _object_select_ _object_type_ a score of _rating_value_,RateBook
rate the current novel zero out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating ,rate the _object_select_ _object_type_ _rating_value_ out of _best_rating_,RateBook
rate the current novel a 2,O O B-object_select B-object_type O B-rating_value ,rate the _object_select_ _object_type_ a _rating_value_,RateBook
Give The Giant Devil Dingo 4 points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,Give _object_name_ _rating_value_ _rating_unit_,RateBook
Rate this current novel two out of 6,O B-object_select I-object_select B-object_type B-rating_value O O B-best_rating ,Rate _object_select_ _object_type_ _rating_value_ out of _best_rating_,RateBook
Give Monthly Index of Medical Specialities a two out of 6 rating,O B-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating O ,Give _object_name_ a _rating_value_ out of _best_rating_ rating,RateBook
rate this novel 2 out of 6 points,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,rate _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate the current novel 3 stars,O O B-object_select B-object_type B-rating_value B-rating_unit ,Rate the _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
rate the current essay zero out of 6 stars,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,rate the _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
rate this current album 0 stars,O B-object_select I-object_select B-object_type B-rating_value B-rating_unit ,rate _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Give A Brief Stop on the Road from Auschwitz 1 out of 6 stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,Give _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate this album 4 out of 6 stars,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,Rate _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate Hate That Cat 1 out of 6 stars,O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,Rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
give my current book one of 6 stars,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit ,give my _object_select_ _object_type_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
Rate current novel one stars,O B-object_select B-object_type B-rating_value B-rating_unit ,Rate _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Give five out of 6 points to this album,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type ,Give _rating_value_ out of _best_rating_ _rating_unit_ to _object_select_ _object_type_,RateBook
Give a rating of 2 to Juneteenth,O O O O B-rating_value O B-object_name ,Give a rating of _rating_value_ to _object_name_,RateBook
Rate Ruth five out of 6 points,O B-object_name B-rating_value O O B-best_rating B-rating_unit ,Rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
rate The Sea of Trolls 1 stars out of 6,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating ,rate _object_name_ _rating_value_ _rating_unit_ out of _best_rating_,RateBook
give The Zenith Angle one out of 6 points,O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,give _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Give zero stars to Rhialto the Marvellous,O B-rating_value B-rating_unit O B-object_name I-object_name I-object_name ,Give _rating_value_ _rating_unit_ to _object_name_,RateBook
give the current book a zero of 6,O O B-object_select B-object_type O B-rating_value O B-best_rating ,give the _object_select_ _object_type_ a _rating_value_ of _best_rating_,RateBook
rate Personal Demons 0 out of 6 points,O B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate the current series a 4,O O B-object_select B-object_part_of_series_type O B-rating_value ,Rate the _object_select_ _object_part_of_series_type_ a _rating_value_,RateBook
Give one of 6 points to Who Will Cry When You Die,O B-rating_value O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name ,Give _rating_value_ of _best_rating_ _rating_unit_ to _object_name_,RateBook
Give zero out of 6 stars to this album,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type ,Give _rating_value_ out of _best_rating_ _rating_unit_ to _object_select_ _object_type_,RateBook
Give this novel 2 stars,O B-object_select B-object_type B-rating_value B-rating_unit ,Give _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
Rate The 8-Week Cholesterol Cure three out of 6,O B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating ,Rate _object_name_ _rating_value_ out of _best_rating_,RateBook
rate this novel 3 out of 6 points,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,rate _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
rate The Lives of John Lennon five points,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,rate _object_name_ _rating_value_ _rating_unit_,RateBook
Give The American Scene 2 of 6 stars,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit ,Give _object_name_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
Rate this textbook a one,O B-object_select B-object_type O B-rating_value ,Rate _object_select_ _object_type_ a _rating_value_,RateBook
Give Summer of the Swans 1 points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,Give _object_name_ _rating_value_ _rating_unit_,RateBook
Give the current textbook a rating of five,O O B-object_select B-object_type O O O B-rating_value ,Give the _object_select_ _object_type_ a rating of _rating_value_,RateBook
Give 4 points to The Person and the Common Good,O B-rating_value B-rating_unit O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name ,Give _rating_value_ _rating_unit_ to _object_name_,RateBook
Give a four rating to A World Apart,O O B-rating_value O O B-object_name I-object_name I-object_name ,Give a _rating_value_ rating to _object_name_,RateBook
rate this chronicle 0 points,O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit ,rate _object_select_ _object_part_of_series_type_ _rating_value_ _rating_unit_,RateBook
Give Wilco: Learning How to Die a rating of four points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value B-rating_unit ,Give _object_name_ a rating of _rating_value_ _rating_unit_,RateBook
Rate this saga two out of 6,O B-object_select B-object_part_of_series_type B-rating_value O O B-best_rating ,Rate _object_select_ _object_part_of_series_type_ _rating_value_ out of _best_rating_,RateBook
rate The Gift: Imagination and the Erotic Life of Property five stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,rate _object_name_ _rating_value_ _rating_unit_,RateBook
rate Neverwhere four out of 6,O B-object_name B-rating_value O O B-best_rating ,rate _object_name_ _rating_value_ out of _best_rating_,RateBook
Rate In the Company of Cheerful Ladies a zero out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating ,Rate _object_name_ a _rating_value_ out of _best_rating_,RateBook
Give one start to the current book,O B-rating_value O O O B-object_select B-object_type ,Give _rating_value_ start to the _object_select_ _object_type_,RateBook
Give this chronicle a 2 rating,O B-object_select B-object_part_of_series_type O B-rating_value O ,Give _object_select_ _object_part_of_series_type_ a _rating_value_ rating,RateBook
rate this essay a 1,O B-object_select B-object_type O B-rating_value ,rate _object_select_ _object_type_ a _rating_value_,RateBook
Out of 6 give Rivers of Babylon a 1,O O B-best_rating O B-object_name I-object_name I-object_name O B-rating_value ,Out of _best_rating_ give _object_name_ a _rating_value_,RateBook
Give 5 of 6 stars to Expressive Processing,O B-rating_value O B-best_rating B-rating_unit O B-object_name I-object_name ,Give _rating_value_ of _best_rating_ _rating_unit_ to _object_name_,RateBook
rate The Ghost House series a one,O B-object_name I-object_name I-object_name B-object_part_of_series_type O B-rating_value ,rate _object_name_ _object_part_of_series_type_ a _rating_value_,RateBook
rate Know Ye Not Agincourt 2 out of 6 stars,O B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
I would rate Theft: A Love Story four out of 6 stars,O O O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit ,I would rate _object_name_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Rate The Further Adventures of The Joker four stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,Rate _object_name_ _rating_value_ _rating_unit_,RateBook
Give 0 rating to In the Heart of the Country,O B-rating_value O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name ,Give _rating_value_ rating to _object_name_,RateBook
Give 1 out of 6 rating to the current textbook,O B-rating_value O O B-best_rating O O O B-object_select B-object_type ,Give _rating_value_ out of _best_rating_ rating to the _object_select_ _object_type_,RateBook
give the current chronicle five of 6 points,O O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit ,give the _object_select_ _object_part_of_series_type_ _rating_value_ of _best_rating_ _rating_unit_,RateBook
Rate Cotton Comes to Harlem a 2,O B-object_name I-object_name I-object_name I-object_name O B-rating_value ,Rate _object_name_ a _rating_value_,RateBook
Give this album one stars,O B-object_select B-object_type B-rating_value B-rating_unit ,Give _object_select_ _object_type_ _rating_value_ _rating_unit_,RateBook
rate The Adventures of Augie March one points,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit ,rate _object_name_ _rating_value_ _rating_unit_,RateBook
Rate Soul Music a 0,O B-object_name I-object_name O B-rating_value ,Rate _object_name_ a _rating_value_,RateBook
Give Hindu Temples: What Happened to Them a 5 out of 6 stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating B-rating_unit ,Give _object_name_ a _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Give this novel a 1,O B-object_select B-object_type O B-rating_value ,Give _object_select_ _object_type_ a _rating_value_,RateBook
rate the current textbook 1 out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating ,rate the _object_select_ _object_type_ _rating_value_ out of _best_rating_,RateBook
Give this textbook 0 out of 6 stars,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit ,Give _object_select_ _object_type_ _rating_value_ out of _best_rating_ _rating_unit_,RateBook
Give The Crystal Snare 5 stars,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit ,Give _object_name_ _rating_value_ _rating_unit_,RateBook
Rate this saga two out of 6,O B-object_select B-object_part_of_series_type B-rating_value O O B-best_rating ,Rate _object_select_ _object_part_of_series_type_ _rating_value_ out of _best_rating_,RateBook
Give Wilco: Learning How to Die a rating of four points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value B-rating_unit ,Give _object_name_ a rating of _rating_value_ _rating_unit_,RateBook
