utterance,labels,delexicalised,intent
Play me some music by Prince Alla from the twenties,O O O O O B-artist I-artist O O B-year ,SOS Play me some music by _artist_ from the _year_ EOS,PlayMusic
Play the newest 2016 ep from Boaz Mauda ,O O B-sort B-year B-music_item O B-artist I-artist ,SOS Play the _sort_ _year_ _music_item_ from _artist_  EOS,PlayMusic
play Escapada,O B-playlist ,SOS play _playlist_ EOS,PlayMusic
I'd like to hear music from 1951  preferably a soundtrack ,O O O O O O O B-year O O B-music_item ,SOS I'd like to hear music from _year_  preferably a _music_item_  EOS,PlayMusic
Play 2003 Ben Burnley on Spotify,O B-year B-artist I-artist O B-service ,SOS Play _year_ _artist_ on _service_ EOS,PlayMusic
Play Marche Lorraine by Rachael Lampa,O B-track I-track O B-artist I-artist ,SOS Play _track_ by _artist_ EOS,PlayMusic
Play some soul music,O O B-genre O ,SOS Play some _genre_ music EOS,PlayMusic
Play Robin Hood Rescuing Three Squires by Bhupinder Singh,O B-track I-track I-track I-track I-track O B-artist I-artist ,SOS Play _track_ by _artist_ EOS,PlayMusic
Play the top-5 songs from Paddy Reilly on zvooq,O O B-sort O O B-artist I-artist O B-service ,SOS Play the _sort_ songs from _artist_ on _service_ EOS,PlayMusic
Open Groove Shark and play native us,O B-service I-service O O B-genre I-genre ,SOS Open _service_ and play _genre_ EOS,PlayMusic
play chant by Prurient,O B-music_item O B-artist ,SOS play _music_item_ by _artist_ EOS,PlayMusic
play Shake Your Head,O B-track I-track I-track ,SOS play _track_ EOS,PlayMusic
Play Justin Broadrick's music on Slacker ,O B-artist I-artist O O O B-service ,SOS Play _artist_'s music on _service_  EOS,PlayMusic
Play some 1954 songs on my Itunes ,O O B-year O O O B-service ,SOS Play some _year_ songs on my _service_  EOS,PlayMusic
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm ,O O B-year B-music_item O B-artist I-artist I-artist O B-service ,SOS Play a _year_ _music_item_ by _artist_ on _service_  EOS,PlayMusic
play laura love songs from 1959,O B-artist I-artist O O B-year ,SOS play _artist_ songs from _year_ EOS,PlayMusic
Play Inside The Eye by twinkie clark,O B-album I-album I-album O B-artist I-artist ,SOS Play _album_ by _artist_ EOS,PlayMusic
Play Goa music on Google Music ,O B-genre O O B-service I-service ,SOS Play _genre_ music on _service_  EOS,PlayMusic
Play The Way It Has To Be by Tom G Warrior on Zvooq,O B-album I-album I-album I-album I-album I-album O B-artist I-artist I-artist O B-service ,SOS Play _album_ by _artist_ on _service_ EOS,PlayMusic
Play some nineties chant music from Nicoleta Nicola,O O B-year B-music_item O O B-artist I-artist ,SOS Play some _year_ _music_item_ music from _artist_ EOS,PlayMusic
Play Alone  Again from Mike Viola,O B-album I-album O B-artist I-artist ,SOS Play _album_ from _artist_ EOS,PlayMusic
open Spotify and play a couple of celtic songs,O B-service O O O O O B-genre O ,SOS open _service_ and play a couple of _genre_ songs EOS,PlayMusic
Play a concerto by Thekra ,O O B-music_item O B-artist ,SOS Play a _music_item_ by _artist_  EOS,PlayMusic
play The Trail Of The Lonesome Pine on Netflix,O B-track I-track I-track I-track I-track I-track O B-service ,SOS play _track_ on _service_ EOS,PlayMusic
Please play the newest music by Evil Jared Hasselhoff,O O O B-sort O O B-artist I-artist I-artist ,SOS Please play the _sort_ music by _artist_ EOS,PlayMusic
Play NoctÃ¡mbulo pl,O B-playlist O ,SOS Play _playlist_ pl EOS,PlayMusic
Open up Lastfm and play some songs ,O O B-service O O O O ,SOS Open up _service_ and play some songs  EOS,PlayMusic
Can you play a top 5 song by Manos Hadjidakis,O O O O B-sort I-sort B-music_item O B-artist I-artist ,SOS Can you play a _sort_ _music_item_ by _artist_ EOS,PlayMusic
Play sixties on Spotify,O B-year O B-service ,SOS Play _year_ on _service_ EOS,PlayMusic
Play music by Antonella Barba from the album Bath,O O O B-artist I-artist O O B-music_item B-album ,SOS Play music by _artist_ from the _music_item_ _album_ EOS,PlayMusic
Play melody music from the fourties ,O B-music_item O O O B-year ,SOS Play _music_item_ music from the _year_  EOS,PlayMusic
Play some Katiejane Garside on Vimeo ,O O B-artist I-artist O B-service ,SOS Play some _artist_ on _service_  EOS,PlayMusic
Play me a top-ten song by Phil Ochs on Groove Shark,O O O B-sort B-music_item O B-artist I-artist O B-service I-service ,SOS Play me a _sort_ _music_item_ by _artist_ on _service_ EOS,PlayMusic
Play Out From Under from Hurricane Chris,O B-track I-track I-track O B-artist I-artist ,SOS Play _track_ from _artist_ EOS,PlayMusic
Play a sound track by Pee Wee Russell on Zvooq ,O O B-music_item I-music_item O B-artist I-artist I-artist O B-service ,SOS Play a _music_item_ by _artist_ on _service_  EOS,PlayMusic
Play One Way Ticket by Ray Kennedy ,O B-track I-track I-track O B-artist I-artist ,SOS Play _track_ by _artist_  EOS,PlayMusic
Play my entertaining playlist,O O B-playlist O ,SOS Play my _playlist_ playlist EOS,PlayMusic
Will you pull up my Jueves de AntaÃ±o playlist,O O O O O B-playlist I-playlist I-playlist O ,SOS Will you pull up my _playlist_ playlist EOS,PlayMusic
Play some eighties movement music,O O B-year B-music_item O ,SOS Play some _year_ _music_item_ music EOS,PlayMusic
Use Spotify to play me music,O B-service O O O O ,SOS Use _service_ to play me music EOS,PlayMusic
use Deezer to play top five Moya Brennan,O B-service O O B-sort I-sort B-artist I-artist ,SOS use _service_ to play _sort_ _artist_ EOS,PlayMusic
I'd like to hear Nas's greatest ballad,O O O O O B-artist O B-sort B-music_item ,SOS I'd like to hear _artist_'s _sort_ _music_item_ EOS,PlayMusic
Open Netflix and find a movie with the song heartful,O B-service O O O O O O B-music_item B-playlist ,SOS Open _service_ and find a movie with the _music_item_ _playlist_ EOS,PlayMusic
PLay some fourties music from Erin Harkes,O O B-year O O B-artist I-artist ,SOS PLay some _year_ music from _artist_ EOS,PlayMusic
Play dhafer youssef top-twenty on netflix,O B-artist I-artist B-sort O B-service ,SOS Play _artist_ _sort_ on _service_ EOS,PlayMusic
I'd like to play the top ten Mickdeth on Google Music,O O O O O O B-sort I-sort B-artist O B-service I-service ,SOS I'd like to play the _sort_ _artist_ on _service_ EOS,PlayMusic
play music by Don Reno,O O O B-artist I-artist ,SOS play music by _artist_ EOS,PlayMusic
Play some Last Fm music like the 1992 ep from Peaches,O O B-service I-service O O O B-year B-music_item O B-artist ,SOS Play some _service_ music like the _year_ _music_item_ from _artist_ EOS,PlayMusic
Play some indie music on spotify ,O O B-genre O O B-service ,SOS Play some _genre_ music on _service_  EOS,PlayMusic
Play a cohesive playlist for me,O O B-playlist O O O ,SOS Play a _playlist_ playlist for me EOS,PlayMusic
Play 1966 theme music on Slacker ,O B-year B-music_item O O B-service ,SOS Play _year_ _music_item_ music on _service_  EOS,PlayMusic
Play some jpop on Google Music ,O O B-genre O B-service I-service ,SOS Play some _genre_ on _service_  EOS,PlayMusic
Play music from 2002,O O O B-year ,SOS Play music from _year_ EOS,PlayMusic
play Lastfm pop tunes,O B-service B-genre O ,SOS play _service_ _genre_ tunes EOS,PlayMusic
play a concerto that was most popular in 1958 by mickey hart,O O B-music_item O O B-sort I-sort O B-year O B-artist I-artist ,SOS play a _music_item_ that was _sort_ in _year_ by _artist_ EOS,PlayMusic
Let me listen to Rouhollah Khaleghi on deezer ,O O O O B-artist I-artist O B-service ,SOS Let me listen to _artist_ on _service_  EOS,PlayMusic
Please play music from Itunes,O O O O B-service ,SOS Please play music from _service_ EOS,PlayMusic
Play me the most popular Peja song on Slacker,O O O B-sort I-sort B-artist B-music_item O B-service ,SOS Play me the _sort_ _artist_ _music_item_ on _service_ EOS,PlayMusic
Play my 70s Smash Hits playlist ,O O B-playlist I-playlist I-playlist O ,SOS Play my _playlist_ playlist  EOS,PlayMusic
Play me a song from the fourties,O O O B-music_item O O B-year ,SOS Play me a _music_item_ from the _year_ EOS,PlayMusic
Play celtic music,O B-genre O ,SOS Play _genre_ music EOS,PlayMusic
play Moustapha Amar Make It Rain,O B-artist I-artist B-track I-track I-track ,SOS play _artist_ _track_ EOS,PlayMusic
I want to hear a top ten soundtrack from 1984 by Shinehead,O O O O O B-sort I-sort B-music_item O B-year O B-artist ,SOS I want to hear a _sort_ _music_item_ from _year_ by _artist_ EOS,PlayMusic
Play the 1951 ballad,O O B-year B-music_item ,SOS Play the _year_ _music_item_ EOS,PlayMusic
I want to hear Dave Seaman's ep,O O O O B-artist I-artist O B-music_item ,SOS I want to hear _artist_'s _music_item_ EOS,PlayMusic
Play music from artist Ashley,O O O O B-artist ,SOS Play music from artist _artist_ EOS,PlayMusic
play Miguelito top charting album,O B-artist B-sort O B-music_item ,SOS play _artist_ _sort_ charting _music_item_ EOS,PlayMusic
I want to hear Papa Mali's songs from the fifties,O O O O B-artist I-artist O O O O B-year ,SOS I want to hear _artist_'s songs from the _year_ EOS,PlayMusic
play some tango on iheart,O O B-genre O B-service ,SOS play some _genre_ on _service_ EOS,PlayMusic
Play jazz music by Zvooq,O B-genre O O B-service ,SOS Play _genre_ music by _service_ EOS,PlayMusic
play songs by Wise,O O O B-artist ,SOS play songs by _artist_ EOS,PlayMusic
Play music from the eighties on Slacker ,O O O O B-year O B-service ,SOS Play music from the _year_ on _service_  EOS,PlayMusic
I want to hear Ready by Frankenstein Drag Queens From Planet 13,O O O O B-album O B-artist I-artist I-artist I-artist I-artist I-artist ,SOS I want to hear _album_ by _artist_ EOS,PlayMusic
Play a song from the seventies by Pepe Aguilar,O O B-music_item O O B-year O B-artist I-artist ,SOS Play a _music_item_ from the _year_ by _artist_ EOS,PlayMusic
Play something by Brian Chase ,O O O B-artist I-artist ,SOS Play something by _artist_  EOS,PlayMusic
open Fadl Shaker on Spotify and play a melody starting with the newest,O B-artist I-artist O B-service O O O B-music_item O O O B-sort ,SOS open _artist_ on _service_ and play a _music_item_ starting with the _sort_ EOS,PlayMusic
Play a Scott Lafaro soundtrack,O O B-artist I-artist B-music_item ,SOS Play a _artist_ _music_item_ EOS,PlayMusic
play songs from the sixties,O O O O B-year ,SOS play songs from the _year_ EOS,PlayMusic
Play a tune from Space Mandino ,O O B-music_item O B-artist I-artist ,SOS Play a _music_item_ from _artist_  EOS,PlayMusic
Open Vimeo and paly every song released in 1986,O B-service O O B-track B-music_item O O B-year ,SOS Open _service_ and paly _track_ _music_item_ released in _year_ EOS,PlayMusic
Find me music by Kaori Utatsuki off the album that has top-twenty hits,O O O O B-artist I-artist O O B-music_item O O B-sort O ,SOS Find me music by _artist_ off the _music_item_ that has _sort_ hits EOS,PlayMusic
Play my playlist TGIF on itunes,O O O B-playlist O B-service ,SOS Play my playlist _playlist_ on _service_ EOS,PlayMusic
Play some thrash metal ,O O B-genre I-genre ,SOS Play some _genre_  EOS,PlayMusic
play a top-10 ballad from 1995,O O B-sort B-music_item O B-year ,SOS play a _sort_ _music_item_ from _year_ EOS,PlayMusic
Play ballad from Mandy Moore,O B-music_item O B-artist I-artist ,SOS Play _music_item_ from _artist_ EOS,PlayMusic
Play movement music from Sheryfa Luna,O B-music_item O O B-artist I-artist ,SOS Play _music_item_ music from _artist_ EOS,PlayMusic
Play the artist Joe,O O O B-artist ,SOS Play the artist _artist_ EOS,PlayMusic
play some Prabha Atre,O O B-artist I-artist ,SOS play some _artist_ EOS,PlayMusic
Play ballad music by Jeff Lynne ,O B-music_item O O B-artist I-artist ,SOS Play _music_item_ music by _artist_  EOS,PlayMusic
Play me a 1957 ep,O O O B-year B-music_item ,SOS Play me a _year_ _music_item_ EOS,PlayMusic
Play Pease Porridge Hot by Johnny Vicious on Zvooq,O B-track I-track I-track O B-artist I-artist O B-service ,SOS Play _track_ by _artist_ on _service_ EOS,PlayMusic
play a 1994 tune by Lena Horne,O O B-year B-music_item O B-artist I-artist ,SOS play a _year_ _music_item_ by _artist_ EOS,PlayMusic
Play a tune by Houston on Spotify,O O B-music_item O B-artist O B-service ,SOS Play a _music_item_ by _artist_ on _service_ EOS,PlayMusic
Play a top fifty track from the twenties,O O B-sort I-sort B-music_item O O B-year ,SOS Play a _sort_ _music_item_ from the _year_ EOS,PlayMusic
Play Sense Tu from Ebi Hamedi,O B-track I-track O B-artist I-artist ,SOS Play _track_ from _artist_ EOS,PlayMusic
play a good John Maher record with Netflix,O O B-sort B-artist I-artist B-music_item O B-service ,SOS play a _sort_ _artist_ _music_item_ with _service_ EOS,PlayMusic
use netflix to play Bizzy Bone Kiss Me Goodnight  Sergeant Major,O B-service O O B-artist I-artist B-track I-track I-track I-track I-track ,SOS use _service_ to play _artist_ _track_ EOS,PlayMusic
Play music from 1969 on lastfm  ,O O O B-year O B-service ,SOS Play music from _year_ on _service_   EOS,PlayMusic
play something from 1981,O O O B-year ,SOS play something from _year_ EOS,PlayMusic
play Heavy Machinery by Phil Spector on Zvooq,O B-album I-album O B-artist I-artist O B-service ,SOS play _album_ by _artist_ on _service_ EOS,PlayMusic
Play i believe from Chico Buarque off of iheart,O B-track I-track O B-artist I-artist O O B-service ,SOS Play _track_ from _artist_ off of _service_ EOS,PlayMusic
Play some symphonic rock ,O O B-genre I-genre ,SOS Play some _genre_  EOS,PlayMusic
Play some twenties chant music on Slacker,O O B-year B-music_item O O B-service ,SOS Play some _year_ _music_item_ music on _service_ EOS,PlayMusic
Play some songs from the fifties,O O O O O B-year ,SOS Play some songs from the _year_ EOS,PlayMusic
Play a song by Electric Tones from their Kurutta TaiyÅ album on Last Fm,O O B-music_item O B-artist I-artist O O B-album I-album B-music_item O B-service I-service ,SOS Play a _music_item_ by _artist_ from their _album_ _music_item_ on _service_ EOS,PlayMusic
play some Bertine Zetlitz record,O O B-artist I-artist B-music_item ,SOS play some _artist_ _music_item_ EOS,PlayMusic
Play my Hardstyle  Baby playlist on Netflix,O O B-playlist I-playlist O O B-service ,SOS Play my _playlist_ playlist on _service_ EOS,PlayMusic
Play the top symphony music from Ejigayehu Shibabaw,O O B-sort B-music_item O O B-artist I-artist ,SOS Play the _sort_ _music_item_ music from _artist_ EOS,PlayMusic
Open Itunes and play Heath music from 1981,O B-service O O B-artist O O B-year ,SOS Open _service_ and play _artist_ music from _year_ EOS,PlayMusic
I want to listen to a concerto from Timour Moutsouraev ,O O O O O O B-music_item O B-artist I-artist ,SOS I want to listen to a _music_item_ from _artist_  EOS,PlayMusic
Play me the dinner playlist,O O O B-playlist O ,SOS Play me the _playlist_ playlist EOS,PlayMusic
play music by Shinji Miyazaki,O O O B-artist I-artist ,SOS play music by _artist_ EOS,PlayMusic
Play any music on Spotify,O O O O B-service ,SOS Play any music on _service_ EOS,PlayMusic
Play a record from the seventies,O O B-music_item O O B-year ,SOS Play a _music_item_ from the _year_ EOS,PlayMusic
open the Canciones del Recuerdo playlist and play songs,O O B-playlist I-playlist I-playlist O O O O ,SOS open the _playlist_ playlist and play songs EOS,PlayMusic
Play the top-10 chant by Caetano Veloso on Pandora,O O B-sort B-music_item O B-artist I-artist O B-service ,SOS Play the _sort_ _music_item_ by _artist_ on _service_ EOS,PlayMusic
Play Water Under The Bridge by Hariprasad Chaurasia ,O B-track I-track I-track I-track O B-artist I-artist ,SOS Play _track_ by _artist_  EOS,PlayMusic
play Matt Uelmen songs from 1965 on Slacker,O B-artist I-artist O O B-year O B-service ,SOS play _artist_ songs from _year_ on _service_ EOS,PlayMusic
I want to hear Shooby Taylor's Tearing Up The Album Charts ,O O O O B-artist I-artist O B-album I-album I-album I-album I-album ,SOS I want to hear _artist_'s _album_  EOS,PlayMusic
Play Niko from the fourties,O B-artist O O B-year ,SOS Play _artist_ from the _year_ EOS,PlayMusic
Play ClÃ¡sicos del Hip Hop EspaÃ±ol,O B-playlist I-playlist I-playlist I-playlist I-playlist ,SOS Play _playlist_ EOS,PlayMusic
Play Circus Farm by Deana Carter ,O B-track I-track O B-artist I-artist ,SOS Play _track_ by _artist_  EOS,PlayMusic
play some nineties music,O O B-year O ,SOS play some _year_ music EOS,PlayMusic
play music by Bryan Maclean,O O O B-artist I-artist ,SOS play music by _artist_ EOS,PlayMusic
Play POP GOES THE 80s ,O B-playlist I-playlist I-playlist I-playlist ,SOS Play _playlist_  EOS,PlayMusic
Play music from 2015,O O O B-year ,SOS Play music from _year_ EOS,PlayMusic
Play music from 1964,O O O B-year ,SOS Play music from _year_ EOS,PlayMusic
Play me songs from agreable,O O O O B-playlist ,SOS Play me songs from _playlist_ EOS,PlayMusic
Play tune from Sonny Stitt,O B-music_item O B-artist I-artist ,SOS Play _music_item_ from _artist_ EOS,PlayMusic
Play some 50 Shades of Love,O O B-playlist I-playlist I-playlist I-playlist ,SOS Play some _playlist_ EOS,PlayMusic
Play some sixties music on Slacker ,O O B-year O O B-service ,SOS Play some _year_ music on _service_  EOS,PlayMusic
Play Tomorrow,O B-track ,SOS Play _track_ EOS,PlayMusic
Can you play a sound track by Sissieretta Jones,O O O O B-music_item I-music_item O B-artist I-artist ,SOS Can you play a _music_item_ by _artist_ EOS,PlayMusic
Play me a nineties song by Joseph Genaro,O O O B-year B-music_item O B-artist I-artist ,SOS Play me a _year_ _music_item_ by _artist_ EOS,PlayMusic
I want to hear Sarban's greatest hits,O O O O B-artist O B-sort O ,SOS I want to hear _artist_'s _sort_ hits EOS,PlayMusic
play ray davies on Iheart by only Hit It Again,O B-artist I-artist O B-service O O B-track I-track I-track ,SOS play _artist_ on _service_ by only _track_ EOS,PlayMusic
Play my 88 Keys playlist ,O O B-playlist I-playlist O ,SOS Play my _playlist_ playlist  EOS,PlayMusic
Play some Rockwell from around 1996,O O B-artist O O B-year ,SOS Play some _artist_ from around _year_ EOS,PlayMusic
Play me a top 20 chant by Ruwanga Samath on Lastfm,O O O B-sort I-sort B-music_item O B-artist I-artist O B-service ,SOS Play me a _sort_ _music_item_ by _artist_ on _service_ EOS,PlayMusic
play something from the twenties,O O O O B-year ,SOS play something from the _year_ EOS,PlayMusic
Play Ciribiribin by Sandeep Khare,O B-track O B-artist I-artist ,SOS Play _track_ by _artist_ EOS,PlayMusic
play some 1991 Dave Barker,O O B-year B-artist I-artist ,SOS play some _year_ _artist_ EOS,PlayMusic
Play Wynton Kelly music on Netflix sort by popular,O B-artist I-artist O O B-service O O B-sort ,SOS Play _artist_ music on _service_ sort by _sort_ EOS,PlayMusic
Play bebob on Iheart,O B-genre O B-service ,SOS Play _genre_ on _service_ EOS,PlayMusic
Play the top 5 by Akira The Don ,O O B-sort I-sort O B-artist I-artist I-artist ,SOS Play the _sort_ by _artist_  EOS,PlayMusic
play some rap on Pandora,O O B-genre O B-service ,SOS play some _genre_ on _service_ EOS,PlayMusic
Play a melody from Elmer Bernstein,O O B-music_item O B-artist I-artist ,SOS Play a _music_item_ from _artist_ EOS,PlayMusic
play The Necromancer,O B-track I-track ,SOS play _track_ EOS,PlayMusic
Can you play Under The Anheuser Bush by Pete Doherty,O O O B-track I-track I-track I-track O B-artist I-artist ,SOS Can you play _track_ by _artist_ EOS,PlayMusic
Play any song from 2001,O O B-music_item O B-year ,SOS Play any _music_item_ from _year_ EOS,PlayMusic
I want to hear some music from Groove Shark,O O O O O O O B-service I-service ,SOS I want to hear some music from _service_ EOS,PlayMusic
Play Sound Of Love from Papa Mali,O B-track I-track I-track O B-artist I-artist ,SOS Play _track_ from _artist_ EOS,PlayMusic
I wanna hear something on Spotify by Eddie Vinson,O O O O O O B-service O B-artist I-artist ,SOS I wanna hear something on _service_ by _artist_ EOS,PlayMusic
Play a twenties track by the aj carothers on Zvooq ,O O B-year B-music_item O O B-artist I-artist O B-service ,SOS Play a _year_ _music_item_ by the _artist_ on _service_  EOS,PlayMusic
Play Magic Time by Phoebus,O B-album I-album O B-artist ,SOS Play _album_ by _artist_ EOS,PlayMusic
Play Johnny Gimble,O B-artist I-artist ,SOS Play _artist_ EOS,PlayMusic
play music from 1981,O O O B-year ,SOS play music from _year_ EOS,PlayMusic
play music on Netflix,O O O B-service ,SOS play music on _service_ EOS,PlayMusic
Play a tune by Andrew Findon,O O B-music_item O B-artist I-artist ,SOS Play a _music_item_ by _artist_ EOS,PlayMusic
Play the playlist  A Mis NiÃ±os de 30 ,O O O B-playlist I-playlist I-playlist I-playlist I-playlist ,SOS Play the playlist  _playlist_  EOS,PlayMusic
Play some chanson music,O O B-genre O ,SOS Play some _genre_ music EOS,PlayMusic
Play a movement from 1974 ,O O B-music_item O B-year ,SOS Play a _music_item_ from _year_  EOS,PlayMusic
Can you play Maggie Mae on Netflix,O O O B-track I-track O B-service ,SOS Can you play _track_ on _service_ EOS,PlayMusic
Play music by Young Steff,O O O B-artist I-artist ,SOS Play music by _artist_ EOS,PlayMusic
Play Barbra Streisand music from 1997 ,O B-artist I-artist O O B-year ,SOS Play _artist_ music from _year_  EOS,PlayMusic
Play greatest chant music from Beni Arashiro,O B-sort B-music_item O O B-artist I-artist ,SOS Play _sort_ _music_item_ music from _artist_ EOS,PlayMusic
play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,O B-album I-album I-album I-album I-album O B-artist I-artist O B-service ,SOS play _album_ by _artist_ on _service_ EOS,PlayMusic
Can you play me songs from the Estado de Ã¡nimo playlist ,O O O O O O O B-playlist I-playlist I-playlist O ,SOS Can you play me songs from the _playlist_ playlist  EOS,PlayMusic
Play music by Janet Paschal,O O O B-artist I-artist ,SOS Play music by _artist_ EOS,PlayMusic
Play Praise The Lord And Pass The Ammunition ,O B-track I-track I-track I-track I-track I-track I-track ,SOS Play _track_  EOS,PlayMusic
Please play Short And Sweet by Teyana Taylor from my itunes ,O O B-album I-album I-album O B-artist I-artist O O B-service ,SOS Please play _album_ by _artist_ from my _service_  EOS,PlayMusic
Play fourties music on Pandora ,O B-year O O B-service ,SOS Play _year_ music on _service_  EOS,PlayMusic
Play music by Damien Rice,O O O B-artist I-artist ,SOS Play music by _artist_ EOS,PlayMusic
Play some Rachel Stevens off of Itunes,O O B-artist I-artist O O B-service ,SOS Play some _artist_ off of _service_ EOS,PlayMusic
Play music from the seventies for me  ,O O O O B-year O O ,SOS Play music from the _year_ for me   EOS,PlayMusic
Play some Tony Grant ,O O B-artist I-artist ,SOS Play some _artist_  EOS,PlayMusic
play Andy White,O B-artist I-artist ,SOS play _artist_ EOS,PlayMusic
Use Google Music to play a song,O B-service I-service O O O B-music_item ,SOS Use _service_ to play a _music_item_ EOS,PlayMusic
Play Spotify,O B-service ,SOS Play _service_ EOS,PlayMusic
Play music from 2007 ,O O O B-year ,SOS Play music from _year_  EOS,PlayMusic
Play me a song from the sixties,O O O B-music_item O O B-year ,SOS Play me a _music_item_ from the _year_ EOS,PlayMusic
play Robin Trower Unravel,O B-artist I-artist B-track ,SOS play _artist_ _track_ EOS,PlayMusic
play the top twenty movement songs from Roberto Valverde,O O B-sort I-sort B-music_item O O B-artist I-artist ,SOS play the _sort_ _music_item_ songs from _artist_ EOS,PlayMusic
Play hanging in the balance by Nik Kershaw on Zvooq ,O B-album I-album I-album I-album O B-artist I-artist O B-service ,SOS Play _album_ by _artist_ on _service_  EOS,PlayMusic
Play the album Vibrations by Marion Elise Raven,O O B-music_item B-album O B-artist I-artist I-artist ,SOS Play the _music_item_ _album_ by _artist_ EOS,PlayMusic
play a track by Mila Islam from Deezer,O O B-music_item O B-artist I-artist O B-service ,SOS play a _music_item_ by _artist_ from _service_ EOS,PlayMusic
play Jawad Ahmad,O B-artist I-artist ,SOS play _artist_ EOS,PlayMusic
play fourties tunes by Bryan Webb on Groove Shark,O B-year O O B-artist I-artist O B-service I-service ,SOS play _year_ tunes by _artist_ on _service_ EOS,PlayMusic
play Party Ben on Slacker,O B-artist I-artist O B-service ,SOS play _artist_ on _service_ EOS,PlayMusic
Use Groove Shark to play music from the nineties,O B-service I-service O O O O O B-year ,SOS Use _service_ to play music from the _year_ EOS,PlayMusic
Play eighties music,O B-year O ,SOS Play _year_ music EOS,PlayMusic
play my Madrugando playlist on Groove Shark,O O B-playlist O O B-service I-service ,SOS play my _playlist_ playlist on _service_ EOS,PlayMusic
play Darude,O B-artist ,SOS play _artist_ EOS,PlayMusic
Play Shinji Miyazaki's music on netflix,O B-artist I-artist O O O B-service ,SOS Play _artist_'s music on _service_ EOS,PlayMusic
Play 2gether by Jade Puget,O B-album O B-artist I-artist ,SOS Play _album_ by _artist_ EOS,PlayMusic
play Wow by Jon Theodore,O B-track O B-artist I-artist ,SOS play _track_ by _artist_ EOS,PlayMusic
play Doctor Fink if i could choose,O B-artist I-artist B-track I-track I-track I-track ,SOS play _artist_ _track_ EOS,PlayMusic
Please open pandora for me,O O B-service O O ,SOS Please open _service_ for me EOS,PlayMusic
Can I hear a tune from Vladimir Vysotski ,O O O O B-music_item O B-artist I-artist ,SOS Can I hear a _music_item_ from _artist_  EOS,PlayMusic
Please play Different Slanguages by Fred Labour ,O O B-album I-album O B-artist I-artist ,SOS Please play _album_ by _artist_  EOS,PlayMusic
play music from the sixties,O O O O B-year ,SOS play music from the _year_ EOS,PlayMusic
I want to hear Somi's songs from the twenties,O O O O B-artist O O O O B-year ,SOS I want to hear _artist_'s songs from the _year_ EOS,PlayMusic
play Tom Jones album from the twenties,O B-artist I-artist B-music_item O O B-year ,SOS play _artist_ _music_item_ from the _year_ EOS,PlayMusic
