utterance,labels,delexicalised,intent
Please play a 1997 record,O O O B-year B-music_item ,SOS Please play a _year_ _music_item_ EOS,PlayMusic
Put What Color Is Your Sky by Alana Davis on the stereo,O B-album I-album I-album I-album I-album O B-artist I-artist O O O ,SOS Put _album_ by _artist_ on the stereo EOS,PlayMusic
Please play a movement from george formby jr,O O O B-music_item O B-artist I-artist I-artist ,SOS Please play a _music_item_ from _artist_ EOS,PlayMusic
play some new Les Vandyke on Slacker,O O B-sort B-artist I-artist O B-service ,SOS play some _sort_ _artist_ on _service_ EOS,PlayMusic
Please open Zvooq,O O B-service ,SOS Please open _service_ EOS,PlayMusic
Play Progressive Metal,O B-genre I-genre ,SOS Play _genre_ EOS,PlayMusic
I want to hear soundtrack music on Youtube from Helena Iren Michaelsen,O O O O B-music_item O O B-service O B-artist I-artist I-artist ,SOS I want to hear _music_item_ music on _service_ from _artist_ EOS,PlayMusic
play a song by Ramesh Narayan from 1960,O O B-music_item O B-artist I-artist O B-year ,SOS play a _music_item_ by _artist_ from _year_ EOS,PlayMusic
Play some blues brit̢nico,O O B-genre I-genre ,SOS Play some _genre_ EOS,PlayMusic
Proceed with Hitomi Nabatame music from 2003,O O B-artist I-artist O O B-year ,SOS Proceed with _artist_ music from _year_ EOS,PlayMusic
Play something on Zvooq,O O O B-service ,SOS Play something on _service_ EOS,PlayMusic
Play music from Lynn & Wade Llp,O O O B-artist I-artist I-artist I-artist ,SOS Play music from _artist_ EOS,PlayMusic
Let me hear Chris Knight music,O O O B-artist I-artist O ,SOS Let me hear _artist_ music EOS,PlayMusic
Let's hear good Mohammad Mamle on Vimeo,O O O B-sort B-artist I-artist O B-service ,SOS Let's hear _sort_ _artist_ on _service_ EOS,PlayMusic
Please play a sound track from the fifties that's on Iheart,O O O B-music_item I-music_item O O B-year O O O B-service ,SOS Please play a _music_item_ from the _year_ that's on _service_ EOS,PlayMusic
Play Music From Van-pires by Dmitry Malikov,O B-album I-album I-album O B-artist I-artist ,SOS Play _album_ by _artist_ EOS,PlayMusic
Play rich sex on Iheart,O B-track I-track O B-service ,SOS Play _track_ on _service_ EOS,PlayMusic
Play Modern Psychedelia,O B-playlist I-playlist ,SOS Play _playlist_ EOS,PlayMusic
Book a reservation for my babies and I,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description ,SOS Book a reservation for _party_size_description_ EOS,BookRestaurant
Book a reservation for a restaurant not far from MA,O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-state ,SOS Book a reservation for a _restaurant_type_ _spatial_relation_ from _state_ EOS,BookRestaurant
I would like to book a restaurant in Tanzania that is within walking distance for my mom and I,O O O O O O B-restaurant_type O B-country O O B-spatial_relation I-spatial_relation I-spatial_relation O B-party_size_description I-party_size_description I-party_size_description I-party_size_description ,SOS I would like to book a _restaurant_type_ in _country_ that is _spatial_relation_ for _party_size_description_ EOS,BookRestaurant
Book a reservation for an oyster bar,O O O O O B-restaurant_type I-restaurant_type ,SOS Book a reservation for an _restaurant_type_ EOS,BookRestaurant
Book a reservation for 6 people for a creole tavern in Montenegro,O O O O B-party_size_number O O O B-cuisine B-restaurant_type O B-country ,SOS Book a reservation for _party_size_number_ people for a _cuisine_ _restaurant_type_ in _country_ EOS,BookRestaurant
I need a table in Sacaton at a gluten free restaurant,O O O O O B-city O O B-cuisine I-cuisine B-restaurant_type ,SOS I need a table in _city_ at a _cuisine_ _restaurant_type_ EOS,BookRestaurant
book sot for me and my grandfather nearby West Reading,O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation B-poi I-poi ,SOS book sot for _party_size_description_ _spatial_relation_ _poi_ EOS,BookRestaurant
Book me and my nieces a reservation for a seafood restaurant in Cle Elum NE on ascension day,O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-served_dish B-restaurant_type O B-city I-city B-state O B-timerange I-timerange ,SOS Book _party_size_description_ a reservation for a _served_dish_ _restaurant_type_ in _city_ _state_ on _timerange_ EOS,BookRestaurant
book spot for two at City Tavern,O O O B-party_size_number O B-restaurant_name I-restaurant_name ,SOS book spot for _party_size_number_ at _restaurant_name_ EOS,BookRestaurant
I want to book a brasserie for 3 people in Netherlands Antilles,O O O O O B-restaurant_type O B-party_size_number O O B-country I-country ,SOS I want to book a _restaurant_type_ for _party_size_number_ people in _country_ EOS,BookRestaurant
Book me a reservation for the best bistro,O O O O O O B-sort B-restaurant_type ,SOS Book me a reservation for the _sort_ _restaurant_type_ EOS,BookRestaurant
book the best table in Tanzania for 5 people at a diner,O O B-sort O O B-country O B-party_size_number O O O B-restaurant_type ,SOS book the _sort_ table in _country_ for _party_size_number_ people at a _restaurant_type_ EOS,BookRestaurant
I want to book a joint in a  spa,O O O O O B-restaurant_type O O B-facility ,SOS I want to book a _restaurant_type_ in a  _facility_ EOS,BookRestaurant
book a gastropub that serves turkish food for 4 people,O O B-restaurant_type O O B-cuisine O O B-party_size_number O ,SOS book a _restaurant_type_ that serves _cuisine_ food for _party_size_number_ people EOS,BookRestaurant
book spot for 7 at an indoor restaurant in MP now,O O O B-party_size_number O O B-facility B-restaurant_type O B-state B-timerange ,SOS book spot for _party_size_number_ at an _facility_ _restaurant_type_ in _state_ _timerange_ EOS,BookRestaurant
book a table in Fiji for zero am,O O O O B-country O B-timerange I-timerange ,SOS book a table in _country_ for _timerange_ EOS,BookRestaurant
I want to book a restaurant for five people in Sri Lanka,O O O O O B-restaurant_type O B-party_size_number O O B-country I-country ,SOS I want to book a _restaurant_type_ for _party_size_number_ people in _country_ EOS,BookRestaurant
I need a table for 5 at a highly rated gastropub in Concord MN,O O O O O B-party_size_number O O B-sort I-sort B-restaurant_type O B-city B-state ,SOS I need a table for _party_size_number_ at a _sort_ _restaurant_type_ in _city_ _state_ EOS,BookRestaurant
I want to book Oregon Electric Station in North City,O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city ,SOS I want to book _restaurant_name_ in _city_ EOS,BookRestaurant
I need a table for 4 please confirm the reservation,O O O O O B-party_size_number O O O O ,SOS I need a table for _party_size_number_ please confirm the reservation EOS,BookRestaurant
Book a popular restaurant for 5 people,O O B-sort B-restaurant_type O B-party_size_number O ,SOS Book a _sort_ _restaurant_type_ for _party_size_number_ people EOS,BookRestaurant
I want to book a joint close by the naomi's hostel for a meal for 8 people,O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi I-poi O O B-timerange O B-party_size_number O ,SOS I want to book a _restaurant_type_ _spatial_relation_ the _poi_ for a _timerange_ for _party_size_number_ people EOS,BookRestaurant
I want to eat a delicatessen in thirteen hours that serves eastern european food,O O O O O B-restaurant_type B-timerange I-timerange I-timerange O O B-cuisine I-cuisine O ,SOS I want to eat a _restaurant_type_ _timerange_ that serves _cuisine_ food EOS,BookRestaurant
Book a reservation for nine people at a bakery in Nunez,O O O O B-party_size_number O O O B-restaurant_type O B-city ,SOS Book a reservation for _party_size_number_ people at a _restaurant_type_ in _city_ EOS,BookRestaurant
Book a reservation at tavern for noodle,O O O O B-restaurant_type O B-served_dish ,SOS Book a reservation at _restaurant_type_ for _served_dish_ EOS,BookRestaurant
book spot for 4 in Somalia,O O O B-party_size_number O B-country ,SOS book spot for _party_size_number_ in _country_ EOS,BookRestaurant
I want to book Albany Pump Station in Buckholts Washington now for a party of 9,O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state B-timerange O O O O B-party_size_number ,SOS I want to book _restaurant_name_ in _city_ _state_ _timerange_ for a party of _party_size_number_ EOS,BookRestaurant
I want to book a taverna in Archer City for this spring for nine people,O O O O O B-restaurant_type O B-city I-city O B-timerange I-timerange O B-party_size_number O ,SOS I want to book a _restaurant_type_ in _city_ for _timerange_ for _party_size_number_ people EOS,BookRestaurant
I want to book a top-rated brasserie for 7 people,O O O O O B-sort B-restaurant_type O B-party_size_number O ,SOS I want to book a _sort_ _restaurant_type_ for _party_size_number_ people EOS,BookRestaurant
Book a reservation for 8 people in Wardville Kansas,O O O O B-party_size_number O O B-city B-state ,SOS Book a reservation for _party_size_number_ people in _city_ _state_ EOS,BookRestaurant
table for Breadline Cafe in Minnesota next friday,O O B-restaurant_name I-restaurant_name O B-state B-timerange I-timerange ,SOS table for _restaurant_name_ in _state_ _timerange_ EOS,BookRestaurant
I want to book a restaurant in Niger for seven people,O O O O O B-restaurant_type O B-country O B-party_size_number O ,SOS I want to book a _restaurant_type_ in _country_ for _party_size_number_ people EOS,BookRestaurant
Book spot for 9,O O O B-party_size_number ,SOS Book spot for _party_size_number_ EOS,BookRestaurant
Book me a reservation for a pub in Cormorant for a party of nine,O O O O O O B-restaurant_type O B-city O O O O B-party_size_number ,SOS Book me a reservation for a _restaurant_type_ in _city_ for a party of _party_size_number_ EOS,BookRestaurant
book spot for my nieces and I at a tea house,O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type I-restaurant_type ,SOS book spot for _party_size_description_ at a _restaurant_type_ EOS,BookRestaurant
I want to book a jewish restaurant in Gambia,O O O O O B-cuisine B-restaurant_type O B-country ,SOS I want to book a _cuisine_ _restaurant_type_ in _country_ EOS,BookRestaurant
Book a reservation for The Dome Edinburgh close to Brooklawn,O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-poi ,SOS Book a reservation for _restaurant_name_ _spatial_relation_ to _poi_ EOS,BookRestaurant
book spot for 1 at Town of Ramsgate in Merit,O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city ,SOS book spot for _party_size_number_ at _restaurant_name_ in _city_ EOS,BookRestaurant
Book a spot for me and kathrine  at Smithville,O O O O B-party_size_description I-party_size_description I-party_size_description O B-city ,SOS Book a spot for _party_size_description_  at _city_ EOS,BookRestaurant
I want to book a restaurant for my father in law and I in Buckner a year from now,O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city B-timerange I-timerange I-timerange I-timerange ,SOS I want to book a _restaurant_type_ for _party_size_description_ in _city_ _timerange_ EOS,BookRestaurant
Book a restaurant reservation in 6 weeks,O O B-restaurant_type O B-timerange I-timerange I-timerange ,SOS Book a _restaurant_type_ reservation _timerange_ EOS,BookRestaurant
Book a reservation for a bar with a spa nearby ID,O O O O O B-restaurant_type O O B-facility B-spatial_relation B-state ,SOS Book a reservation for a _restaurant_type_ with a _facility_ _spatial_relation_ _state_ EOS,BookRestaurant
book spot for four at Cliff House San Francisco in Martinique,O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country ,SOS book spot for _party_size_number_ at _restaurant_name_ in _country_ EOS,BookRestaurant
I need a table for 4 in Saint Helena at Settha Palace Hotel,O O O O O B-party_size_number O B-country I-country O B-restaurant_name I-restaurant_name I-restaurant_name ,SOS I need a table for _party_size_number_ in _country_ at _restaurant_name_ EOS,BookRestaurant
I want to book a restaurant in Frenier 12 years from now for 4 people,O O O O O B-restaurant_type O B-city B-timerange I-timerange I-timerange I-timerange O B-party_size_number O ,SOS I want to book a _restaurant_type_ in _city_ _timerange_ for _party_size_number_ people EOS,BookRestaurant
Book seven in neighboring Moorpark,O B-party_size_number O B-spatial_relation B-city ,SOS Book _party_size_number_ in _spatial_relation_ _city_ EOS,BookRestaurant
I want to eat by five pm in NE for a six people,O O O O O B-timerange I-timerange O B-state O O B-party_size_number O ,SOS I want to eat by _timerange_ in _state_ for a _party_size_number_ people EOS,BookRestaurant
I want to book Tupelo Honey Cafe in New Jersey for five people,O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-party_size_number O ,SOS I want to book _restaurant_name_ in _state_ for _party_size_number_ people EOS,BookRestaurant
Book a reservation for two at Mickies Dairy Bar in Weedsport,O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city ,SOS Book a reservation for _party_size_number_ at _restaurant_name_ in _city_ EOS,BookRestaurant
book a table at a Fried chicken restaurant,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name ,SOS book a table at a _restaurant_name_ EOS,BookRestaurant
book spot for mavis sheila and I in Syria at elevenses,O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country O B-timerange ,SOS book spot for _party_size_description_ in _country_ at _timerange_ EOS,BookRestaurant
Can you book me a table at Windows on the World in Cokeville  MI,O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state ,SOS Can you book me a table at _restaurant_name_ in _city_  _state_ EOS,BookRestaurant
Book me a table for 5 this year at Cherwell Boathouse,O O O O O B-party_size_number B-timerange I-timerange O B-restaurant_name I-restaurant_name ,SOS Book me a table for _party_size_number_ _timerange_ at _restaurant_name_ EOS,BookRestaurant
book spot for six  at 8 pm at a coffeehouse in NE that serves hog fry,O O O B-party_size_number O B-timerange I-timerange O O B-restaurant_type O B-state O O B-served_dish I-served_dish ,SOS book spot for _party_size_number_  at _timerange_ at a _restaurant_type_ in _state_ that serves _served_dish_ EOS,BookRestaurant
I want to book a restaurant close-by in Inman for five people,O O O O O B-restaurant_type B-spatial_relation O B-city O B-party_size_number O ,SOS I want to book a _restaurant_type_ _spatial_relation_ in _city_ for _party_size_number_ people EOS,BookRestaurant
I need a table at Eddie's Attic in Nevada for one,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number ,SOS I need a table at _restaurant_name_ in _state_ for _party_size_number_ EOS,BookRestaurant
Book a reservation for an osteria restaurant for 4 people on november 4,O O O O O B-restaurant_type O O B-party_size_number O O B-timerange I-timerange ,SOS Book a reservation for an _restaurant_type_ restaurant for _party_size_number_ people on _timerange_ EOS,BookRestaurant
I want to book a top-rated restaurant close by in LA for me rebecca and loraine on 2/6/2020,O O O O O B-sort B-restaurant_type B-spatial_relation O O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timerange ,SOS I want to book a _sort_ _restaurant_type_ _spatial_relation_ by in _state_ for _party_size_description_ on _timerange_ EOS,BookRestaurant
Book a reservation for 1 at a diner in WI,O O O O B-party_size_number O O B-restaurant_type O B-state ,SOS Book a reservation for _party_size_number_ at a _restaurant_type_ in _state_ EOS,BookRestaurant
Book a reservation for 5 people at the top-rated brasserie restaurant,O O O O B-party_size_number O O O B-sort B-restaurant_type O ,SOS Book a reservation for _party_size_number_ people at the _sort_ _restaurant_type_ restaurant EOS,BookRestaurant
book a table on 1/20/2023 for 5 people in MH,O O O O B-timerange O B-party_size_number O O B-state ,SOS book a table on _timerange_ for _party_size_number_ people in _state_ EOS,BookRestaurant
book a table near pat's college,O O O B-spatial_relation B-poi I-poi I-poi ,SOS book a table _spatial_relation_ _poi_ EOS,BookRestaurant
I want to book a steakhouse in Vimy Ridge,O O O O O B-restaurant_type O B-city I-city ,SOS I want to book a _restaurant_type_ in _city_ EOS,BookRestaurant
I want a table at James D Conrey House in Urbank California,O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state ,SOS I want a table at _restaurant_name_ in _city_ _state_ EOS,BookRestaurant
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop,O O O O O O B-country O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name ,SOS Like to book a seat in _country_ for the _restaurant_name_ EOS,BookRestaurant
I want to book a table in a restaurant in Bouvet Island,O O O O O O O O B-restaurant_type O B-country I-country ,SOS I want to book a table in a _restaurant_type_ in _country_ EOS,BookRestaurant
I would like to book a restaurant for souvlaki cuisine in the state of NE,O O O O O O B-restaurant_type O B-cuisine O O O O O B-state ,SOS I would like to book a _restaurant_type_ for _cuisine_ cuisine in the state of _state_ EOS,BookRestaurant
Book a reservation for 10 people at an oyster bar with a pool within the same area of Cowansburg for 10 Pm,O O O O B-party_size_number O O O B-restaurant_type I-restaurant_type O O B-facility B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city O B-timerange I-timerange ,SOS Book a reservation for _party_size_number_ people at an _restaurant_type_ with a _facility_ _spatial_relation_ of _city_ for _timerange_ EOS,BookRestaurant
Book a reservation for velma ana and rebecca for an american pizzeria at 5 Am in MA,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine B-restaurant_type O B-timerange I-timerange O B-state ,SOS Book a reservation for _party_size_description_ for an _cuisine_ _restaurant_type_ at _timerange_ in _state_ EOS,BookRestaurant
Book a spot for 4 in Oklahoma at South Street Diner,O O O O B-party_size_number O B-state O B-restaurant_name I-restaurant_name I-restaurant_name ,SOS Book a spot for _party_size_number_ in _state_ at _restaurant_name_ EOS,BookRestaurant
Book a reservation for my mommy and I at a restaurant in Central African Republic,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country I-country I-country ,SOS Book a reservation for _party_size_description_ at a _restaurant_type_ in _country_ EOS,BookRestaurant
Book a reservation for five people for a tatar taverna in Sargents,O O O O B-party_size_number O O O B-cuisine B-restaurant_type O B-city ,SOS Book a reservation for _party_size_number_ people for a _cuisine_ _restaurant_type_ in _city_ EOS,BookRestaurant
