utterance,labels,delexicalised,intent
Play some eighties movement music,0 0 B-year B-music_item 0 ,Play some [year] [music_item] music,PlayMusic
Use Spotify to play me music,0 B-service 0 0 0 0 ,Use [service] to play me music,PlayMusic
use Deezer to play top five Moya Brennan,0 B-service 0 0 B-sort I-sort B-artist I-artist ,use [service] to play [sort] [artist],PlayMusic
I'd like to hear Nas's greatest ballad,0 0 0 0 B-artist 0 B-sort B-music_item ,I'd like to hear [artist]'s [sort] [music_item],PlayMusic
Open Netflix and find a movie with the song heartful,0 B-service 0 0 0 0 0 0 B-music_item B-playlist ,Open [service] and find a movie with the [music_item] [playlist],PlayMusic
PLay some fourties music from Erin Harkes,0 0 B-year 0 0 B-artist I-artist ,PLay some [year] music from [artist],PlayMusic
Play dhafer youssef top-twenty on netflix,0 B-artist I-artist B-sort 0 B-service ,Play [artist] [sort] on [service],PlayMusic
I'd like to play the top ten Mickdeth on Google Music,0 0 0 0 0 B-sort I-sort B-artist 0 B-service I-service ,I'd like to play the [sort] [artist] on [service],PlayMusic
play music by Don Reno,0 0 0 B-artist I-artist ,play music by [artist],PlayMusic
Play some Last Fm music like the 1992 ep from Peaches,0 0 B-service I-service 0 0 0 B-year B-music_item 0 B-artist ,Play some [service] music like the [year] [music_item] from [artist],PlayMusic
Play some indie music on spotify.,0 0 B-genre 0 0 B-service 0 ,Play some [genre] music on [service].,PlayMusic
Play a cohesive playlist for me,0 0 B-playlist 0 0 0 ,Play a [playlist] playlist for me,PlayMusic
Play 1966 theme music on Slacker.,0 B-year B-music_item 0 0 B-service 0 ,Play [year] [music_item] music on [service].,PlayMusic
Play some jpop on Google Music.,0 0 B-genre 0 B-service I-service 0 ,Play some [genre] on [service].,PlayMusic
Play music from 2002,0 0 0 B-year ,Play music from [year],PlayMusic
play Lastfm pop tunes,0 B-service B-genre 0 ,play [service] [genre] tunes,PlayMusic
play a concerto that was most popular in 1958 by mickey hart,0 0 B-music_item 0 0 B-sort I-sort 0 B-year 0 B-artist I-artist ,play a [music_item] that was [sort] in [year] by [artist],PlayMusic
Let me listen to Rouhollah Khaleghi on deezer.,0 0 0 0 B-artist I-artist 0 B-service 0 ,Let me listen to [artist] on [service].,PlayMusic
Please play music from Itunes,0 0 0 0 B-service ,Please play music from [service],PlayMusic
Play me the most popular Peja song on Slacker,0 0 0 B-sort I-sort B-artist B-music_item 0 B-service ,Play me the [sort] [artist] [music_item] on [service],PlayMusic
Play my 70s Smash Hits playlist.,0 0 B-playlist I-playlist I-playlist 0 ,Play my [playlist] playlist.,PlayMusic
Play me a song from the fourties,0 0 0 B-music_item 0 0 B-year ,Play me a [music_item] from the [year],PlayMusic
Play celtic music,0 B-genre 0 ,Play [genre] music,PlayMusic
play Moustapha Amar Make It Rain,0 B-artist I-artist B-track I-track I-track ,play [artist] [track],PlayMusic
I want to hear a top ten soundtrack from 1984 by Shinehead,0 0 0 0 0 B-sort I-sort B-music_item 0 B-year 0 B-artist ,I want to hear a [sort] [music_item] from [year] by [artist],PlayMusic
Play the 1951 ballad,0 0 B-year B-music_item ,Play the [year] [music_item],PlayMusic
I want to hear Dave Seaman's ep,0 0 0 0 B-artist I-artist 0 B-music_item ,I want to hear [artist]'s [music_item],PlayMusic
Play music from artist Ashley,0 0 0 0 B-artist ,Play music from artist [artist],PlayMusic
play Miguelito top charting album,0 B-artist B-sort 0 B-music_item ,play [artist] [sort] charting [music_item],PlayMusic
I want to hear Papa Mali's songs from the fifties,0 0 0 0 B-artist I-artist 0 0 0 0 B-year ,I want to hear [artist]'s songs from the [year],PlayMusic
play some tango on iheart,0 0 B-genre 0 B-service ,play some [genre] on [service],PlayMusic
Play jazz music by Zvooq,0 B-genre 0 0 B-service ,Play [genre] music by [service],PlayMusic
play songs by Wise,0 0 0 B-artist ,play songs by [artist],PlayMusic
Play music from the eighties on Slacker.,0 0 0 0 B-year 0 B-service 0 ,Play music from the [year] on [service].,PlayMusic
I want to hear Ready by Frankenstein Drag Queens From Planet 13,0 0 0 0 B-album 0 B-artist I-artist I-artist I-artist I-artist I-artist ,I want to hear [album] by [artist],PlayMusic
Play a song from the seventies by Pepe Aguilar,0 0 B-music_item 0 0 B-year 0 B-artist I-artist ,Play a [music_item] from the [year] by [artist],PlayMusic
Play something by Brian Chase.,0 0 0 B-artist I-artist 0 ,Play something by [artist].,PlayMusic
open Fadl Shaker on Spotify and play a melody starting with the newest,0 B-artist I-artist 0 B-service 0 0 0 B-music_item 0 0 0 B-sort ,open [artist] on [service] and play a [music_item] starting with the [sort],PlayMusic
Play a Scott Lafaro soundtrack,0 0 B-artist I-artist B-music_item ,Play a [artist] [music_item],PlayMusic
play songs from the sixties,0 0 0 0 B-year ,play songs from the [year],PlayMusic
Play a tune from Space Mandino.,0 0 B-music_item 0 B-artist I-artist 0 ,Play a [music_item] from [artist].,PlayMusic
Open Vimeo and paly every song released in 1986,0 B-service 0 0 B-track B-music_item 0 0 B-year ,Open [service] and paly [track] [music_item] released in [year],PlayMusic
Find me music by Kaori Utatsuki off the album that has top-twenty hits,0 0 0 0 B-artist I-artist 0 0 B-music_item 0 0 B-sort 0 ,Find me music by [artist] off the [music_item] that has [sort] hits,PlayMusic
Play my playlist TGIF on itunes,0 0 0 B-playlist 0 B-service ,Play my playlist [playlist] on [service],PlayMusic
Play some thrash metal.,0 0 B-genre I-genre 0 ,Play some [genre].,PlayMusic
play a top-10 ballad from 1995,0 0 B-sort B-music_item 0 B-year ,play a [sort] [music_item] from [year],PlayMusic
Play ballad from Mandy Moore,0 B-music_item 0 B-artist I-artist ,Play [music_item] from [artist],PlayMusic
Play movement music from Sheryfa Luna,0 B-music_item 0 0 B-artist I-artist ,Play [music_item] music from [artist],PlayMusic
Play the artist Joe,0 0 0 B-artist ,Play the artist [artist],PlayMusic
play some Prabha Atre,0 0 B-artist I-artist ,play some [artist],PlayMusic
Play ballad music by Jeff Lynne.,0 B-music_item 0 0 B-artist I-artist 0 ,Play [music_item] music by [artist].,PlayMusic
Play me a 1957 ep,0 0 0 B-year B-music_item ,Play me a [year] [music_item],PlayMusic
Play Pease Porridge Hot by Johnny Vicious on Zvooq,0 B-track I-track I-track 0 B-artist I-artist 0 B-service ,Play [track] by [artist] on [service],PlayMusic
play a 1994 tune by Lena Horne,0 0 B-year B-music_item 0 B-artist I-artist ,play a [year] [music_item] by [artist],PlayMusic
Play a tune by Houston on Spotify,0 0 B-music_item 0 B-artist 0 B-service ,Play a [music_item] by [artist] on [service],PlayMusic
Play a top fifty track from the twenties,0 0 B-sort I-sort B-music_item 0 0 B-year ,Play a [sort] [music_item] from the [year],PlayMusic
Play Sense Tu from Ebi Hamedi,0 B-track I-track 0 B-artist I-artist ,Play [track] from [artist],PlayMusic
play a good John Maher record with Netflix,0 0 B-sort B-artist I-artist B-music_item 0 B-service ,play a [sort] [artist] [music_item] with [service],PlayMusic
"use netflix to play Bizzy Bone Kiss Me Goodnight, Sergeant Major",0 B-service 0 0 B-artist I-artist B-track I-track I-track I-track I-track ,use [service] to play [artist] [track],PlayMusic
Play music from 1969 on lastfm .,0 0 0 B-year 0 B-service 0 ,Play music from [year] on [service] .,PlayMusic
play something from 1981,0 0 0 B-year ,play something from [year],PlayMusic
play Heavy Machinery by Phil Spector on Zvooq,0 B-album I-album 0 B-artist I-artist 0 B-service ,play [album] by [artist] on [service],PlayMusic
Play i believe from Chico Buarque off of iheart,0 B-track I-track 0 B-artist I-artist 0 0 B-service ,Play [track] from [artist] off of [service],PlayMusic
Play some symphonic rock.,0 0 B-genre I-genre 0 ,Play some [genre].,PlayMusic
Play some twenties chant music on Slacker,0 0 B-year B-music_item 0 0 B-service ,Play some [year] [music_item] music on [service],PlayMusic
Play some songs from the fifties,0 0 0 0 0 B-year ,Play some songs from the [year],PlayMusic
Play a song by Electric Tones from their Kurutta TaiyÅ album on Last Fm,0 0 B-music_item 0 B-artist I-artist 0 0 B-album I-album B-music_item 0 B-service I-service ,Play a [music_item] by [artist] from their [album] [music_item] on [service],PlayMusic
play some Bertine Zetlitz record,0 0 B-artist I-artist B-music_item ,play some [artist] [music_item],PlayMusic
"Play my Hardstyle, Baby playlist on Netflix",0 0 B-playlist I-playlist 0 0 B-service ,Play my [playlist] playlist on [service],PlayMusic
Play the top symphony music from Ejigayehu Shibabaw,0 0 B-sort B-music_item 0 0 B-artist I-artist ,Play the [sort] [music_item] music from [artist],PlayMusic
Open Itunes and play Heath music from 1981,0 B-service 0 0 B-artist 0 0 B-year ,Open [service] and play [artist] music from [year],PlayMusic
I want to listen to a concerto from Timour Moutsouraev.,0 0 0 0 0 0 B-music_item 0 B-artist I-artist 0 ,I want to listen to a [music_item] from [artist].,PlayMusic
Play me the dinner playlist,0 0 0 B-playlist 0 ,Play me the [playlist] playlist,PlayMusic
play music by Shinji Miyazaki,0 0 0 B-artist I-artist ,play music by [artist],PlayMusic
Play any music on Spotify,0 0 0 0 B-service ,Play any music on [service],PlayMusic
Play a record from the seventies,0 0 B-music_item 0 0 B-year ,Play a [music_item] from the [year],PlayMusic
open the Canciones del Recuerdo playlist and play songs,0 0 B-playlist I-playlist I-playlist 0 0 0 0 ,open the [playlist] playlist and play songs,PlayMusic
Play the top-10 chant by Caetano Veloso on Pandora,0 0 B-sort B-music_item 0 B-artist I-artist 0 B-service ,Play the [sort] [music_item] by [artist] on [service],PlayMusic
Play Water Under The Bridge by Hariprasad Chaurasia.,0 B-track I-track I-track I-track 0 B-artist I-artist 0 ,Play [track] by [artist].,PlayMusic
play Matt Uelmen songs from 1965 on Slacker,0 B-artist I-artist 0 0 B-year 0 B-service ,play [artist] songs from [year] on [service],PlayMusic
I want to hear Shooby Taylor's Tearing Up The Album Charts.,0 0 0 0 B-artist I-artist 0 B-album I-album I-album I-album I-album 0 ,I want to hear [artist]'s [album].,PlayMusic
Play Niko from the fourties,0 B-artist 0 0 B-year ,Play [artist] from the [year],PlayMusic
Play ClÃ¡sicos del Hip Hop EspaÃ±ol,0 B-playlist I-playlist I-playlist I-playlist I-playlist ,Play [playlist],PlayMusic
Play Circus Farm by Deana Carter.,0 B-track I-track 0 B-artist I-artist 0 ,Play [track] by [artist].,PlayMusic
play some nineties music,0 0 B-year 0 ,play some [year] music,PlayMusic
play music by Bryan Maclean,0 0 0 B-artist I-artist ,play music by [artist],PlayMusic
Play POP GOES THE 80s.,0 B-playlist I-playlist I-playlist I-playlist 0 ,Play [playlist].,PlayMusic
Play music from 2015,0 0 0 B-year ,Play music from [year],PlayMusic
Play music from 1964,0 0 0 B-year ,Play music from [year],PlayMusic
Play me songs from agreable,0 0 0 0 B-playlist ,Play me songs from [playlist],PlayMusic
Play tune from Sonny Stitt,0 B-music_item 0 B-artist I-artist ,Play [music_item] from [artist],PlayMusic
Play some 50 Shades of Love,0 0 B-playlist I-playlist I-playlist I-playlist ,Play some [playlist],PlayMusic
Play some sixties music on Slacker.,0 0 B-year 0 0 B-service 0 ,Play some [year] music on [service].,PlayMusic
Play Tomorrow,0 B-track ,Play [track],PlayMusic
Can you play a sound track by Sissieretta Jones,0 0 0 0 B-music_item I-music_item 0 B-artist I-artist ,Can you play a [music_item] by [artist],PlayMusic
Play me a nineties song by Joseph Genaro,0 0 0 B-year B-music_item 0 B-artist I-artist ,Play me a [year] [music_item] by [artist],PlayMusic
I want to hear Sarban's greatest hits,0 0 0 0 B-artist 0 B-sort 0 ,I want to hear [artist]'s [sort] hits,PlayMusic
play ray davies on Iheart by only Hit It Again,0 B-artist I-artist 0 B-service 0 0 B-track I-track I-track ,play [artist] on [service] by only [track],PlayMusic
Play my 88 Keys playlist.,0 0 B-playlist I-playlist 0 ,Play my [playlist] playlist.,PlayMusic
Play some Rockwell from around 1996,0 0 B-artist 0 0 B-year ,Play some [artist] from around [year],PlayMusic
Play me a top 20 chant by Ruwanga Samath on Lastfm,0 0 0 B-sort I-sort B-music_item 0 B-artist I-artist 0 B-service ,Play me a [sort] [music_item] by [artist] on [service],PlayMusic
play something from the twenties,0 0 0 0 B-year ,play something from the [year],PlayMusic
Play Ciribiribin by Sandeep Khare,0 B-track 0 B-artist I-artist ,Play [track] by [artist],PlayMusic
play some 1991 Dave Barker,0 0 B-year B-artist I-artist ,play some [year] [artist],PlayMusic
Play Wynton Kelly music on Netflix sort by popular,0 B-artist I-artist 0 0 B-service 0 0 B-sort ,Play [artist] music on [service] sort by [sort],PlayMusic
Play bebob on Iheart,0 B-genre 0 B-service ,Play [genre] on [service],PlayMusic
Play the top 5 by Akira The Don.,0 0 B-sort I-sort 0 B-artist I-artist I-artist 0 ,Play the [sort] by [artist].,PlayMusic
play some rap on Pandora,0 0 B-genre 0 B-service ,play some [genre] on [service],PlayMusic
Play a melody from Elmer Bernstein,0 0 B-music_item 0 B-artist I-artist ,Play a [music_item] from [artist],PlayMusic
play The Necromancer,0 B-track I-track ,play [track],PlayMusic
Can you play Under The Anheuser Bush by Pete Doherty,0 0 0 B-track I-track I-track I-track 0 B-artist I-artist ,Can you play [track] by [artist],PlayMusic
Play any song from 2001,0 0 B-music_item 0 B-year ,Play any [music_item] from [year],PlayMusic
I want to hear some music from Groove Shark,0 0 0 0 0 0 0 B-service I-service ,I want to hear some music from [service],PlayMusic
Play Sound Of Love from Papa Mali,0 B-track I-track I-track 0 B-artist I-artist ,Play [track] from [artist],PlayMusic
I wanna hear something on Spotify by Eddie Vinson,0 0 0 0 0 B-service 0 B-artist I-artist ,I wanna hear something on [service] by [artist],PlayMusic
Play a twenties track by the aj carothers on Zvooq.,0 0 B-year B-music_item 0 0 B-artist I-artist 0 B-service 0 ,Play a [year] [music_item] by the [artist] on [service].,PlayMusic
Play Magic Time by Phoebus,0 B-album I-album 0 B-artist ,Play [album] by [artist],PlayMusic
Play Johnny Gimble,0 B-artist I-artist ,Play [artist],PlayMusic
play music from 1981,0 0 0 B-year ,play music from [year],PlayMusic
play music on Netflix,0 0 0 B-service ,play music on [service],PlayMusic
Play a tune by Andrew Findon,0 0 B-music_item 0 B-artist I-artist ,Play a [music_item] by [artist],PlayMusic
"Play the playlist, A Mis NiÃ±os de 30.",0 0 0 B-playlist I-playlist I-playlist I-playlist I-playlist 0 ,"Play the playlist, [playlist].",PlayMusic
Play some chanson music,0 0 B-genre 0 ,Play some [genre] music,PlayMusic
Play a movement from 1974.,0 0 B-music_item 0 B-year 0 ,Play a [music_item] from [year].,PlayMusic
Can you play Maggie Mae on Netflix,0 0 0 B-track I-track 0 B-service ,Can you play [track] on [service],PlayMusic
Play music by Young Steff,0 0 0 B-artist I-artist ,Play music by [artist],PlayMusic
Play Barbra Streisand music from 1997.,0 B-artist I-artist 0 0 B-year 0 ,Play [artist] music from [year].,PlayMusic
Play greatest chant music from Beni Arashiro,0 B-sort B-music_item 0 0 B-artist I-artist ,Play [sort] [music_item] music from [artist],PlayMusic
play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,0 B-album I-album I-album I-album I-album 0 B-artist I-artist 0 B-service ,play [album] by [artist] on [service],PlayMusic
Can you play me songs from the Estado de Ã¡nimo playlist?,0 0 0 0 0 0 0 B-playlist I-playlist I-playlist 0 ,Can you play me songs from the [playlist] playlist?,PlayMusic
Play music by Janet Paschal,0 0 0 B-artist I-artist ,Play music by [artist],PlayMusic
Play Praise The Lord And Pass The Ammunition.,0 B-track I-track I-track I-track I-track I-track I-track 0 ,Play [track].,PlayMusic
Please play Short And Sweet by Teyana Taylor from my itunes.,0 0 B-album I-album I-album 0 B-artist I-artist 0 0 B-service 0 ,Please play [album] by [artist] from my [service].,PlayMusic
Play fourties music on Pandora.,0 B-year 0 0 B-service 0 ,Play [year] music on [service].,PlayMusic
Play music by Damien Rice,0 0 0 B-artist I-artist ,Play music by [artist],PlayMusic
Play some Rachel Stevens off of Itunes,0 0 B-artist I-artist 0 0 B-service ,Play some [artist] off of [service],PlayMusic
Play music from the seventies for me. ,0 0 0 0 B-year 0 0 ,Play music from the [year] for me. ,PlayMusic
Play some Tony Grant.,0 0 B-artist I-artist 0 ,Play some [artist].,PlayMusic
play Andy White,0 B-artist I-artist ,play [artist],PlayMusic
Use Google Music to play a song,0 B-service I-service 0 0 0 B-music_item ,Use [service] to play a [music_item],PlayMusic
Play Spotify,0 B-service ,Play [service],PlayMusic
Play music from 2007.,0 0 0 B-year 0 ,Play music from [year].,PlayMusic
Play me a song from the sixties,0 0 0 B-music_item 0 0 B-year ,Play me a [music_item] from the [year],PlayMusic
play Robin Trower Unravel,0 B-artist I-artist B-track ,play [artist] [track],PlayMusic
play the top twenty movement songs from Roberto Valverde,0 0 B-sort I-sort B-music_item 0 0 B-artist I-artist ,play the [sort] [music_item] songs from [artist],PlayMusic
Play hanging in the balance by Nik Kershaw on Zvooq.,0 B-album I-album I-album I-album 0 B-artist I-artist 0 B-service 0 ,Play [album] by [artist] on [service].,PlayMusic
Play the album Vibrations by Marion Elise Raven,0 0 B-music_item B-album 0 B-artist I-artist I-artist ,Play the [music_item] [album] by [artist],PlayMusic
play a track by Mila Islam from Deezer,0 0 B-music_item 0 B-artist I-artist 0 B-service ,play a [music_item] by [artist] from [service],PlayMusic
play Jawad Ahmad,0 B-artist I-artist ,play [artist],PlayMusic
play fourties tunes by Bryan Webb on Groove Shark,0 B-year 0 0 B-artist I-artist 0 B-service I-service ,play [year] tunes by [artist] on [service],PlayMusic
play Party Ben on Slacker,0 B-artist I-artist 0 B-service ,play [artist] on [service],PlayMusic
Use Groove Shark to play music from the nineties,0 B-service I-service 0 0 0 0 0 B-year ,Use [service] to play music from the [year],PlayMusic
Play eighties music,0 B-year 0 ,Play [year] music,PlayMusic
play my Madrugando playlist on Groove Shark,0 0 B-playlist 0 0 B-service I-service ,play my [playlist] playlist on [service],PlayMusic
play Darude,0 B-artist ,play [artist],PlayMusic
Play Shinji Miyazaki's music on netflix,0 B-artist I-artist 0 0 0 B-service ,Play [artist]'s music on [service],PlayMusic
Play 2gether by Jade Puget,0 B-album 0 B-artist I-artist ,Play [album] by [artist],PlayMusic
play Wow by Jon Theodore,0 B-track 0 B-artist I-artist ,play [track] by [artist],PlayMusic
play Doctor Fink if i could choose,0 B-artist I-artist B-track I-track I-track I-track ,play [artist] [track],PlayMusic
Please open pandora for me,0 0 B-service 0 0 ,Please open [service] for me,PlayMusic
Can I hear a tune from Vladimir Vysotski?,0 0 0 0 B-music_item 0 B-artist I-artist 0 ,Can I hear a [music_item] from [artist]?,PlayMusic
Please play Different Slanguages by Fred Labour.,0 0 B-album I-album 0 B-artist I-artist 0 ,Please play [album] by [artist].,PlayMusic
play music from the sixties,0 0 0 0 B-year ,play music from the [year],PlayMusic
I want to hear Somi's songs from the twenties,0 0 0 0 B-artist 0 0 0 0 B-year ,I want to hear [artist]'s songs from the [year],PlayMusic
play Tom Jones album from the twenties,0 B-artist I-artist B-music_item 0 0 B-year ,play [artist] [music_item] from the [year],PlayMusic
play songs on Itunes,0 0 0 B-service ,play songs on [service],PlayMusic
play a chant by Sonsee,0 0 B-music_item 0 B-artist ,play a [music_item] by [artist],PlayMusic
Play my Piano Ballads playlist.,0 0 B-playlist I-playlist 0 ,Play my [playlist] playlist.,PlayMusic
play the album a kiss before you go by Bt,0 0 B-music_item B-album I-album I-album I-album I-album 0 B-artist ,play the [music_item] [album] by [artist],PlayMusic
Play the Instrumental Study on Vimeo.,0 0 B-playlist I-playlist 0 B-service 0 ,Play the [playlist] on [service].,PlayMusic
Play some salsa music.,0 0 B-genre 0 ,Play some [genre] music.,PlayMusic
Play top Rosanne Cash,0 B-sort B-artist I-artist ,Play [sort] [artist],PlayMusic
play Slacker tunes,0 B-service 0 ,play [service] tunes,PlayMusic
Play the most popular soundtrack by Elena Paparizou on youtube,0 0 B-sort I-sort B-music_item 0 B-artist I-artist 0 B-service ,Play the [sort] [music_item] by [artist] on [service],PlayMusic
Play Midnight Special,0 B-track I-track ,Play [track],PlayMusic
play pop music with Groove Shark,0 B-genre 0 0 B-service I-service ,play [genre] music with [service],PlayMusic
play Takes Place In Your Work Space by Eddie Kendricks,0 B-album I-album I-album I-album I-album I-album 0 B-artist I-artist ,play [album] by [artist],PlayMusic
Play eighties music by Kaira Kwong on Google Music,0 B-year 0 0 B-artist I-artist 0 B-service I-service ,Play [year] music by [artist] on [service],PlayMusic
play 1970 trunes,0 B-year 0 ,play [year] trunes,PlayMusic
Play breathtaking music,0 B-playlist 0 ,Play [playlist] music,PlayMusic
Play a track from 1985.,0 0 B-music_item 0 B-year 0 ,Play a [music_item] from [year].,PlayMusic
